Question Number,Question,Answer,Category,Difficulty
767,Explain OAuth2 and OpenID Connect.,"[""OAuth2 is for authorization; OpenID Connect is an identity layer on top of it."", ""In technical terms, OAuth2 is for authorization; OpenID Connect is an identity layer on top of it."", ""Basically, OAuth2 is for authorization; OpenID Connect is an identity layer on top of it."", ""A common way to explain this is: OAuth2 is for authorization; OpenID Connect is an identity layer on top of it."", ""To summarize, OAuth2 is for authorization; OpenID Connect is an identity layer on top of it.""]",Backend Development,Hard
768,What is CQRS (Command Query Responsibility Segregation)?,"[""A pattern that separates read and update operations for a data store."", ""In technical terms, A pattern that separates read and update operations for a data store."", ""Basically, A pattern that separates read and update operations for a data store."", ""A common way to explain this is: A pattern that separates read and update operations for a data store."", ""To summarize, A pattern that separates read and update operations for a data store.""]",Backend Development,Hard
769,What is Event Sourcing?,"[""A pattern of storing every change to application state as a sequence of events."", ""In technical terms, A pattern of storing every change to application state as a sequence of events."", ""Basically, A pattern of storing every change to application state as a sequence of events."", ""A common way to explain this is: A pattern of storing every change to application state as a sequence of events."", ""To summarize, A pattern of storing every change to application state as a sequence of events.""]",Backend Development,Hard
770,What is a Service Mesh?,"[""An infrastructure layer for handling service-to-service communication in microservices."", ""In technical terms, An infrastructure layer for handling service-to-service communication in microservices."", ""Basically, An infrastructure layer for handling service-to-service communication in microservices."", ""A common way to explain this is: An infrastructure layer for handling service-to-service communication in microservices."", ""To summarize, An infrastructure layer for handling service-to-service communication in microservices.""]",Backend Development,Hard
771,What is the difference between SQL and NoSQL in terms of scaling?,"[""SQL scales vertically; NoSQL is designed to scale horizontally."", ""In technical terms, SQL scales vertically; NoSQL is designed to scale horizontally."", ""Basically, SQL scales vertically; NoSQL is designed to scale horizontally."", ""A common way to explain this is: SQL scales vertically; NoSQL is designed to scale horizontally."", ""To summarize, SQL scales vertically; NoSQL is designed to scale horizontally.""]",Backend Development,Hard
772,What is a Deadlock in a database?,"[""A situation where two or more transactions are waiting for each other to release locks."", ""In technical terms, A situation where two or more transactions are waiting for each other to release locks."", ""Basically, A situation where two or more transactions are waiting for each other to release locks."", ""A common way to explain this is: A situation where two or more transactions are waiting for each other to release locks."", ""To summarize, A situation where two or more transactions are waiting for each other to release locks.""]",Backend Development,Hard
773,Explain Database Replication.,"[""Copying data from one server to another to improve availability and read performance."", ""In technical terms, Copying data from one server to another to improve availability and read performance."", ""Basically, Copying data from one server to another to improve availability and read performance."", ""A common way to explain this is: Copying data from one server to another to improve availability and read performance."", ""To summarize, Copying data from one server to another to improve availability and read performance.""]",Backend Development,Hard
774,What is the purpose of a circuit breaker pattern?,"[""To prevent a failure in one service from cascading to other services."", ""In technical terms, To prevent a failure in one service from cascading to other services."", ""Basically, To prevent a failure in one service from cascading to other services."", ""A common way to explain this is: To prevent a failure in one service from cascading to other services."", ""To summarize, To prevent a failure in one service from cascading to other services.""]",Backend Development,Hard
775,What is Idempotency in APIs?,"[""The property where multiple identical requests have the same effect as a single request."", ""In technical terms, The property where multiple identical requests have the same effect as a single request."", ""Basically, The property where multiple identical requests have the same effect as a single request."", ""A common way to explain this is: The property where multiple identical requests have the same effect as a single request."", ""To summarize, The property where multiple identical requests have the same effect as a single request.""]",Backend Development,Hard
776,What is Blue-Green deployment?,"[""Running two production environments (Blue and Green) to ensure zero-downtime updates."", ""In technical terms, Running two production environments (Blue and Green) to ensure zero-downtime updates."", ""Basically, Running two production environments (Blue and Green) to ensure zero-downtime updates."", ""A common way to explain this is: Running two production environments (Blue and Green) to ensure zero-downtime updates."", ""To summarize, Running two production environments (Blue and Green) to ensure zero-downtime updates.""]",Backend Development,Hard
777,What is the role of a container orchestrator like Kubernetes?,"[""To automate the deployment, scaling, and management of containerized applications."", ""In technical terms, To automate the deployment, scaling, and management of containerized applications."", ""Basically, To automate the deployment, scaling, and management of containerized applications."", ""A common way to explain this is: To automate the deployment, scaling, and management of containerized applications."", ""To summarize, To automate the deployment, scaling, and management of containerized applications.""]",Backend Development,Hard
778,How to secure a backend API?,"[""Use HTTPS, authentication, rate limiting, input validation, and secure headers."", ""In technical terms, Use HTTPS, authentication, rate limiting, input validation, and secure headers."", ""Basically, Use HTTPS, authentication, rate limiting, input validation, and secure headers."", ""A common way to explain this is: Use HTTPS, authentication, rate limiting, input validation, and secure headers."", ""To summarize, Use HTTPS, authentication, rate limiting, input validation, and secure headers.""]",Backend Development,Hard
779,What is cold start in serverless?,"[""The delay that occurs when a function is invoked for the first time after being idle."", ""In technical terms, The delay that occurs when a function is invoked for the first time after being idle."", ""Basically, The delay that occurs when a function is invoked for the first time after being idle."", ""A common way to explain this is: The delay that occurs when a function is invoked for the first time after being idle."", ""To summarize, The delay that occurs when a function is invoked for the first time after being idle.""]",Backend Development,Hard
780,What is a saga pattern in microservices?,"[""A way to manage distributed transactions across multiple services using sequences of local transactions."", ""In technical terms, A way to manage distributed transactions across multiple services using sequences of local transactions."", ""Basically, A way to manage distributed transactions across multiple services using sequences of local transactions."", ""A common way to explain this is: A way to manage distributed transactions across multiple services using sequences of local transactions."", ""To summarize, A way to manage distributed transactions across multiple services using sequences of local transactions.""]",Backend Development,Hard
781,What is Machine Learning?,"[""A field of AI that gives computers the ability to learn from data without being explicitly programmed."", ""In technical terms, A field of AI that gives computers the ability to learn from data without being explicitly programmed."", ""Basically, A field of AI that gives computers the ability to learn from data without being explicitly programmed."", ""A common way to explain this is: A field of AI that gives computers the ability to learn from data without being explicitly programmed."", ""To summarize, A field of AI that gives computers the ability to learn from data without being explicitly programmed.""]",Artificial Intelligence / Machine Learning,Easy
782,What is Supervised Learning?,"[""Learning from labeled data where the target outcome is known."", ""In technical terms, Learning from labeled data where the target outcome is known."", ""Basically, Learning from labeled data where the target outcome is known."", ""A common way to explain this is: Learning from labeled data where the target outcome is known."", ""To summarize, Learning from labeled data where the target outcome is known.""]",Artificial Intelligence / Machine Learning,Easy
783,What is Unsupervised Learning?,"[""Learning patterns from unlabeled data without a specific target outcome."", ""In technical terms, Learning patterns from unlabeled data without a specific target outcome."", ""Basically, Learning patterns from unlabeled data without a specific target outcome."", ""A common way to explain this is: Learning patterns from unlabeled data without a specific target outcome."", ""To summarize, Learning patterns from unlabeled data without a specific target outcome.""]",Artificial Intelligence / Machine Learning,Easy
784,What is a Feature in ML?,"[""An individual measurable property or characteristic of a phenomenon being observed."", ""In technical terms, An individual measurable property or characteristic of a phenomenon being observed."", ""Basically, An individual measurable property or characteristic of a phenomenon being observed."", ""A common way to explain this is: An individual measurable property or characteristic of a phenomenon being observed."", ""To summarize, An individual measurable property or characteristic of a phenomenon being observed.""]",Artificial Intelligence / Machine Learning,Easy
785,What is a Label in ML?,"[""The target outcome or the 'answer' in a supervised learning dataset."", ""In technical terms, The target outcome or the 'answer' in a supervised learning dataset."", ""Basically, The target outcome or the 'answer' in a supervised learning dataset."", ""A common way to explain this is: The target outcome or the 'answer' in a supervised learning dataset."", ""To summarize, The target outcome or the 'answer' in a supervised learning dataset.""]",Artificial Intelligence / Machine Learning,Easy
786,What is Deep Learning?,"[""A subset of machine learning based on artificial neural networks with multiple layers."", ""In technical terms, A subset of machine learning based on artificial neural networks with multiple layers."", ""Basically, A subset of machine learning based on artificial neural networks with multiple layers."", ""A common way to explain this is: A subset of machine learning based on artificial neural networks with multiple layers."", ""To summarize, A subset of machine learning based on artificial neural networks with multiple layers.""]",Artificial Intelligence / Machine Learning,Easy
787,What is Artificial Intelligence?,"[""The simulation of human intelligence by machines, especially computer systems."", ""In technical terms, The simulation of human intelligence by machines, especially computer systems."", ""Basically, The simulation of human intelligence by machines, especially computer systems."", ""A common way to explain this is: The simulation of human intelligence by machines, especially computer systems."", ""To summarize, The simulation of human intelligence by machines, especially computer systems.""]",Artificial Intelligence / Machine Learning,Easy
788,What is a Training Set?,"[""A subset of the data used to train the machine learning model."", ""In technical terms, A subset of the data used to train the machine learning model."", ""Basically, A subset of the data used to train the machine learning model."", ""A common way to explain this is: A subset of the data used to train the machine learning model."", ""To summarize, A subset of the data used to train the machine learning model.""]",Artificial Intelligence / Machine Learning,Easy
789,What is a Test Set?,"[""A subset of the data used to evaluate the final performance of the model."", ""In technical terms, A subset of the data used to evaluate the final performance of the model."", ""Basically, A subset of the data used to evaluate the final performance of the model."", ""A common way to explain this is: A subset of the data used to evaluate the final performance of the model."", ""To summarize, A subset of the data used to evaluate the final performance of the model.""]",Artificial Intelligence / Machine Learning,Easy
790,What is a Model in ML?,"[""A mathematical representation of a real-world process learned from data."", ""In technical terms, A mathematical representation of a real-world process learned from data."", ""Basically, A mathematical representation of a real-world process learned from data."", ""A common way to explain this is: A mathematical representation of a real-world process learned from data."", ""To summarize, A mathematical representation of a real-world process learned from data.""]",Artificial Intelligence / Machine Learning,Easy
791,What is Classification?,"[""An ML task of predicting a discrete class or category for an input."", ""In technical terms, An ML task of predicting a discrete class or category for an input."", ""Basically, An ML task of predicting a discrete class or category for an input."", ""A common way to explain this is: An ML task of predicting a discrete class or category for an input."", ""To summarize, An ML task of predicting a discrete class or category for an input.""]",Artificial Intelligence / Machine Learning,Easy
792,What is Regression?,"[""An ML task of predicting a continuous numerical value for an input."", ""In technical terms, An ML task of predicting a continuous numerical value for an input."", ""Basically, An ML task of predicting a continuous numerical value for an input."", ""A common way to explain this is: An ML task of predicting a continuous numerical value for an input."", ""To summarize, An ML task of predicting a continuous numerical value for an input.""]",Artificial Intelligence / Machine Learning,Easy
793,What is Overfitting?,"[""When a model learns the training data too well, including the noise, and fails on new data."", ""In technical terms, When a model learns the training data too well, including the noise, and fails on new data."", ""Basically, When a model learns the training data too well, including the noise, and fails on new data."", ""A common way to explain this is: When a model learns the training data too well, including the noise, and fails on new data."", ""To summarize, When a model learns the training data too well, including the noise, and fails on new data.""]",Artificial Intelligence / Machine Learning,Easy
794,What is Underfitting?,"[""When a model is too simple to capture the underlying pattern in the data."", ""In technical terms, When a model is too simple to capture the underlying pattern in the data."", ""Basically, When a model is too simple to capture the underlying pattern in the data."", ""A common way to explain this is: When a model is too simple to capture the underlying pattern in the data."", ""To summarize, When a model is too simple to capture the underlying pattern in the data.""]",Artificial Intelligence / Machine Learning,Easy
795,What is an Algorithm in ML?,"[""A procedure used to find patterns and build models from data."", ""In technical terms, A procedure used to find patterns and build models from data."", ""Basically, A procedure used to find patterns and build models from data."", ""A common way to explain this is: A procedure used to find patterns and build models from data."", ""To summarize, A procedure used to find patterns and build models from data.""]",Artificial Intelligence / Machine Learning,Easy
796,What is Reinforcement Learning?,"[""Learning by interacting with an environment and receiving rewards or penalties."", ""In technical terms, Learning by interacting with an environment and receiving rewards or penalties."", ""Basically, Learning by interacting with an environment and receiving rewards or penalties."", ""A common way to explain this is: Learning by interacting with an environment and receiving rewards or penalties."", ""To summarize, Learning by interacting with an environment and receiving rewards or penalties.""]",Artificial Intelligence / Machine Learning,Easy
797,What is a Neuron in a Neural Network?,"[""A mathematical function that receives inputs, processes them, and produces an output."", ""In technical terms, A mathematical function that receives inputs, processes them, and produces an output."", ""Basically, A mathematical function that receives inputs, processes them, and produces an output."", ""A common way to explain this is: A mathematical function that receives inputs, processes them, and produces an output."", ""To summarize, A mathematical function that receives inputs, processes them, and produces an output.""]",Artificial Intelligence / Machine Learning,Easy
798,What is a Data Scientist?,"[""A professional who uses scientific methods and algorithms to extract insights from data."", ""In technical terms, A professional who uses scientific methods and algorithms to extract insights from data."", ""Basically, A professional who uses scientific methods and algorithms to extract insights from data."", ""A common way to explain this is: A professional who uses scientific methods and algorithms to extract insights from data."", ""To summarize, A professional who uses scientific methods and algorithms to extract insights from data.""]",Artificial Intelligence / Machine Learning,Easy
799,What is Big Data?,"[""Large and complex datasets that traditional data processing software can't handle."", ""In technical terms, Large and complex datasets that traditional data processing software can't handle."", ""Basically, Large and complex datasets that traditional data processing software can't handle."", ""A common way to explain this is: Large and complex datasets that traditional data processing software can't handle."", ""To summarize, Large and complex datasets that traditional data processing software can't handle.""]",Artificial Intelligence / Machine Learning,Easy
800,What is a Confusion Matrix?,"[""A table used to evaluate the performance of a classification model."", ""In technical terms, A table used to evaluate the performance of a classification model."", ""Basically, A table used to evaluate the performance of a classification model."", ""A common way to explain this is: A table used to evaluate the performance of a classification model."", ""To summarize, A table used to evaluate the performance of a classification model.""]",Artificial Intelligence / Machine Learning,Easy
801,What is the Bias-Variance tradeoff?,"[""The balance between a model's complexity and its ability to generalize."", ""In technical terms, The balance between a model's complexity and its ability to generalize."", ""Basically, The balance between a model's complexity and its ability to generalize."", ""A common way to explain this is: The balance between a model's complexity and its ability to generalize."", ""To summarize, The balance between a model's complexity and its ability to generalize.""]",Artificial Intelligence / Machine Learning,Medium
802,What is Cross-Validation?,"[""A technique for evaluating model performance by splitting data into multiple folds."", ""In technical terms, A technique for evaluating model performance by splitting data into multiple folds."", ""Basically, A technique for evaluating model performance by splitting data into multiple folds."", ""A common way to explain this is: A technique for evaluating model performance by splitting data into multiple folds."", ""To summarize, A technique for evaluating model performance by splitting data into multiple folds.""]",Artificial Intelligence / Machine Learning,Medium
803,What is Regularization (L1 and L2)?,"[""Techniques used to prevent overfitting by adding a penalty to the model's complexity."", ""In technical terms, Techniques used to prevent overfitting by adding a penalty to the model's complexity."", ""Basically, Techniques used to prevent overfitting by adding a penalty to the model's complexity."", ""A common way to explain this is: Techniques used to prevent overfitting by adding a penalty to the model's complexity."", ""To summarize, Techniques used to prevent overfitting by adding a penalty to the model's complexity.""]",Artificial Intelligence / Machine Learning,Medium
804,What is Gradient Descent?,"[""An optimization algorithm used to minimize the loss function by updating parameters."", ""In technical terms, An optimization algorithm used to minimize the loss function by updating parameters."", ""Basically, An optimization algorithm used to minimize the loss function by updating parameters."", ""A common way to explain this is: An optimization algorithm used to minimize the loss function by updating parameters."", ""To summarize, An optimization algorithm used to minimize the loss function by updating parameters.""]",Artificial Intelligence / Machine Learning,Medium
805,What is a Hyperparameter?,"[""A parameter whose value is set before the learning process begins (e.g., learning rate)."", ""In technical terms, A parameter whose value is set before the learning process begins (e.g., learning rate)."", ""Basically, A parameter whose value is set before the learning process begins (e.g., learning rate)."", ""A common way to explain this is: A parameter whose value is set before the learning process begins (e.g., learning rate)."", ""To summarize, A parameter whose value is set before the learning process begins (e.g., learning rate).""]",Artificial Intelligence / Machine Learning,Medium
806,What is the difference between Precision and Recall?,"[""Precision is the ratio of true positives to total predicted positives; Recall is the ratio of true positives to total actual positives."", ""In technical terms, Precision is the ratio of true positives to total predicted positives; Recall is the ratio of true positives to total actual positives."", ""Basically, Precision is the ratio of true positives to total predicted positives; Recall is the ratio of true positives to total actual positives."", ""A common way to explain this is: Precision is the ratio of true positives to total predicted positives; Recall is the ratio of true positives to total actual positives."", ""To summarize, Precision is the ratio of true positives to total predicted positives; Recall is the ratio of true positives to total actual positives.""]",Artificial Intelligence / Machine Learning,Medium
807,What is an F1 Score?,"[""The harmonic mean of precision and recall, providing a single metric for performance."", ""In technical terms, The harmonic mean of precision and recall, providing a single metric for performance."", ""Basically, The harmonic mean of precision and recall, providing a single metric for performance."", ""A common way to explain this is: The harmonic mean of precision and recall, providing a single metric for performance."", ""To summarize, The harmonic mean of precision and recall, providing a single metric for performance.""]",Artificial Intelligence / Machine Learning,Medium
808,What is the Curse of Dimensionality?,"[""The problem that arises when working with data in high-dimensional spaces."", ""In technical terms, The problem that arises when working with data in high-dimensional spaces."", ""Basically, The problem that arises when working with data in high-dimensional spaces."", ""A common way to explain this is: The problem that arises when working with data in high-dimensional spaces."", ""To summarize, The problem that arises when working with data in high-dimensional spaces.""]",Artificial Intelligence / Machine Learning,Medium
809,What is Ensemble Learning?,"[""Combining multiple models to improve the overall performance and robustness."", ""In technical terms, Combining multiple models to improve the overall performance and robustness."", ""Basically, Combining multiple models to improve the overall performance and robustness."", ""A common way to explain this is: Combining multiple models to improve the overall performance and robustness."", ""To summarize, Combining multiple models to improve the overall performance and robustness.""]",Artificial Intelligence / Machine Learning,Medium
810,What is Random Forest?,"[""An ensemble learning method that uses multiple decision trees to make predictions."", ""In technical terms, An ensemble learning method that uses multiple decision trees to make predictions."", ""Basically, An ensemble learning method that uses multiple decision trees to make predictions."", ""A common way to explain this is: An ensemble learning method that uses multiple decision trees to make predictions."", ""To summarize, An ensemble learning method that uses multiple decision trees to make predictions.""]",Artificial Intelligence / Machine Learning,Medium
811,What is a Neural Network?,"[""A computing system inspired by the biological neural networks of the human brain."", ""In technical terms, A computing system inspired by the biological neural networks of the human brain."", ""Basically, A computing system inspired by the biological neural networks of the human brain."", ""A common way to explain this is: A computing system inspired by the biological neural networks of the human brain."", ""To summarize, A computing system inspired by the biological neural networks of the human brain.""]",Artificial Intelligence / Machine Learning,Medium
812,What is Backpropagation?,"[""An algorithm used to calculate the gradient of the loss function with respect to the weights."", ""In technical terms, An algorithm used to calculate the gradient of the loss function with respect to the weights."", ""Basically, An algorithm used to calculate the gradient of the loss function with respect to the weights."", ""A common way to explain this is: An algorithm used to calculate the gradient of the loss function with respect to the weights."", ""To summarize, An algorithm used to calculate the gradient of the loss function with respect to the weights.""]",Artificial Intelligence / Machine Learning,Medium
813,What is a Loss Function?,"[""A function that measures how well the model's predictions match the actual targets."", ""In technical terms, A function that measures how well the model's predictions match the actual targets."", ""Basically, A function that measures how well the model's predictions match the actual targets."", ""A common way to explain this is: A function that measures how well the model's predictions match the actual targets."", ""To summarize, A function that measures how well the model's predictions match the actual targets.""]",Artificial Intelligence / Machine Learning,Medium
814,What is Data Augmentation?,"[""A technique used to increase the size of a training set by creating modified versions of existing data."", ""In technical terms, A technique used to increase the size of a training set by creating modified versions of existing data."", ""Basically, A technique used to increase the size of a training set by creating modified versions of existing data."", ""A common way to explain this is: A technique used to increase the size of a training set by creating modified versions of existing data."", ""To summarize, A technique used to increase the size of a training set by creating modified versions of existing data.""]",Artificial Intelligence / Machine Learning,Medium
815,What is Principal Component Analysis (PCA)?,"[""A dimensionality reduction technique that transforms data into a new coordinate system."", ""In technical terms, A dimensionality reduction technique that transforms data into a new coordinate system."", ""Basically, A dimensionality reduction technique that transforms data into a new coordinate system."", ""A common way to explain this is: A dimensionality reduction technique that transforms data into a new coordinate system."", ""To summarize, A dimensionality reduction technique that transforms data into a new coordinate system.""]",Artificial Intelligence / Machine Learning,Medium
816,What is K-Means Clustering?,"[""An unsupervised learning algorithm that partitions data into K clusters."", ""In technical terms, An unsupervised learning algorithm that partitions data into K clusters."", ""Basically, An unsupervised learning algorithm that partitions data into K clusters."", ""A common way to explain this is: An unsupervised learning algorithm that partitions data into K clusters."", ""To summarize, An unsupervised learning algorithm that partitions data into K clusters.""]",Artificial Intelligence / Machine Learning,Medium
817,What is Support Vector Machine (SVM)?,"[""A supervised learning algorithm used for classification and regression tasks."", ""In technical terms, A supervised learning algorithm used for classification and regression tasks."", ""Basically, A supervised learning algorithm used for classification and regression tasks."", ""A common way to explain this is: A supervised learning algorithm used for classification and regression tasks."", ""To summarize, A supervised learning algorithm used for classification and regression tasks.""]",Artificial Intelligence / Machine Learning,Medium
818,What is a Decision Tree?,"[""A flowchart-like structure used to make decisions based on feature values."", ""In technical terms, A flowchart-like structure used to make decisions based on feature values."", ""Basically, A flowchart-like structure used to make decisions based on feature values."", ""A common way to explain this is: A flowchart-like structure used to make decisions based on feature values."", ""To summarize, A flowchart-like structure used to make decisions based on feature values.""]",Artificial Intelligence / Machine Learning,Medium
819,What is a Validation Set?,"[""A subset of data used to tune hyperparameters and provide an unbiased evaluation during training."", ""In technical terms, A subset of data used to tune hyperparameters and provide an unbiased evaluation during training."", ""Basically, A subset of data used to tune hyperparameters and provide an unbiased evaluation during training."", ""A common way to explain this is: A subset of data used to tune hyperparameters and provide an unbiased evaluation during training."", ""To summarize, A subset of data used to tune hyperparameters and provide an unbiased evaluation during training.""]",Artificial Intelligence / Machine Learning,Medium
820,What is Transfer Learning?,"[""Using a pre-trained model on a new, related task."", ""In technical terms, Using a pre-trained model on a new, related task."", ""Basically, Using a pre-trained model on a new, related task."", ""A common way to explain this is: Using a pre-trained model on a new, related task."", ""To summarize, Using a pre-trained model on a new, related task.""]",Artificial Intelligence / Machine Learning,Medium
821,Explain the vanishing gradient problem.,"[""When gradients become extremely small during backpropagation, preventing weights from updating in early layers."", ""In technical terms, When gradients become extremely small during backpropagation, preventing weights from updating in early layers."", ""Basically, When gradients become extremely small during backpropagation, preventing weights from updating in early layers."", ""A common way to explain this is: When gradients become extremely small during backpropagation, preventing weights from updating in early layers."", ""To summarize, When gradients become extremely small during backpropagation, preventing weights from updating in early layers.""]",Artificial Intelligence / Machine Learning,Hard
822,What is a Convolutional Neural Network (CNN)?,"[""A type of deep neural network commonly used for processing structured arrays of data like images."", ""In technical terms, A type of deep neural network commonly used for processing structured arrays of data like images."", ""Basically, A type of deep neural network commonly used for processing structured arrays of data like images."", ""A common way to explain this is: A type of deep neural network commonly used for processing structured arrays of data like images."", ""To summarize, A type of deep neural network commonly used for processing structured arrays of data like images.""]",Artificial Intelligence / Machine Learning,Hard
823,What is a Recurrent Neural Network (RNN)?,"[""A type of neural network designed for sequential data where connections form a directed graph along a sequence."", ""In technical terms, A type of neural network designed for sequential data where connections form a directed graph along a sequence."", ""Basically, A type of neural network designed for sequential data where connections form a directed graph along a sequence."", ""A common way to explain this is: A type of neural network designed for sequential data where connections form a directed graph along a sequence."", ""To summarize, A type of neural network designed for sequential data where connections form a directed graph along a sequence.""]",Artificial Intelligence / Machine Learning,Hard
824,Explain the Transformer architecture.,"[""A neural network architecture that uses self-attention mechanisms to process sequential data in parallel."", ""In technical terms, A neural network architecture that uses self-attention mechanisms to process sequential data in parallel."", ""Basically, A neural network architecture that uses self-attention mechanisms to process sequential data in parallel."", ""A common way to explain this is: A neural network architecture that uses self-attention mechanisms to process sequential data in parallel."", ""To summarize, A neural network architecture that uses self-attention mechanisms to process sequential data in parallel.""]",Artificial Intelligence / Machine Learning,Hard
825,What is an Autoencoder?,"[""A type of neural network used for unsupervised learning of efficient data codings."", ""In technical terms, A type of neural network used for unsupervised learning of efficient data codings."", ""Basically, A type of neural network used for unsupervised learning of efficient data codings."", ""A common way to explain this is: A type of neural network used for unsupervised learning of efficient data codings."", ""To summarize, A type of neural network used for unsupervised learning of efficient data codings.""]",Artificial Intelligence / Machine Learning,Hard
826,What is a Generative Adversarial Network (GAN)?,"[""A framework where two neural networks (Generator and Discriminator) compete against each other."", ""In technical terms, A framework where two neural networks (Generator and Discriminator) compete against each other."", ""Basically, A framework where two neural networks (Generator and Discriminator) compete against each other."", ""A common way to explain this is: A framework where two neural networks (Generator and Discriminator) compete against each other."", ""To summarize, A framework where two neural networks (Generator and Discriminator) compete against each other.""]",Artificial Intelligence / Machine Learning,Hard
827,Explain Batch Normalization.,"[""A technique to improve the speed and stability of neural network training by normalizing layer inputs."", ""In technical terms, A technique to improve the speed and stability of neural network training by normalizing layer inputs."", ""Basically, A technique to improve the speed and stability of neural network training by normalizing layer inputs."", ""A common way to explain this is: A technique to improve the speed and stability of neural network training by normalizing layer inputs."", ""To summarize, A technique to improve the speed and stability of neural network training by normalizing layer inputs.""]",Artificial Intelligence / Machine Learning,Hard
828,What is Dropout in neural networks?,"[""A regularization technique where randomly selected neurons are ignored during training."", ""In technical terms, A regularization technique where randomly selected neurons are ignored during training."", ""Basically, A regularization technique where randomly selected neurons are ignored during training."", ""A common way to explain this is: A regularization technique where randomly selected neurons are ignored during training."", ""To summarize, A regularization technique where randomly selected neurons are ignored during training.""]",Artificial Intelligence / Machine Learning,Hard
829,Explain the difference between bagging and boosting.,"[""Bagging reduces variance by training models in parallel; boosting reduces bias by training models sequentially."", ""In technical terms, Bagging reduces variance by training models in parallel; boosting reduces bias by training models sequentially."", ""Basically, Bagging reduces variance by training models in parallel; boosting reduces bias by training models sequentially."", ""A common way to explain this is: Bagging reduces variance by training models in parallel; boosting reduces bias by training models sequentially."", ""To summarize, Bagging reduces variance by training models in parallel; boosting reduces bias by training models sequentially.""]",Artificial Intelligence / Machine Learning,Hard
830,What is the difference between L1 and L2 regularization?,"[""L1 produces sparse weights (feature selection); L2 produces small but non-zero weights."", ""In technical terms, L1 produces sparse weights (feature selection); L2 produces small but non-zero weights."", ""Basically, L1 produces sparse weights (feature selection); L2 produces small but non-zero weights."", ""A common way to explain this is: L1 produces sparse weights (feature selection); L2 produces small but non-zero weights."", ""To summarize, L1 produces sparse weights (feature selection); L2 produces small but non-zero weights.""]",Artificial Intelligence / Machine Learning,Hard
831,What is Bayesian Optimization?,"[""A strategy for optimization of black-box functions, often used for hyperparameter tuning."", ""In technical terms, A strategy for optimization of black-box functions, often used for hyperparameter tuning."", ""Basically, A strategy for optimization of black-box functions, often used for hyperparameter tuning."", ""A common way to explain this is: A strategy for optimization of black-box functions, often used for hyperparameter tuning."", ""To summarize, A strategy for optimization of black-box functions, often used for hyperparameter tuning.""]",Artificial Intelligence / Machine Learning,Hard
832,What is the significance of the ReLU activation function?,"[""It helps mitigate the vanishing gradient problem and introduces non-linearity."", ""In technical terms, It helps mitigate the vanishing gradient problem and introduces non-linearity."", ""Basically, It helps mitigate the vanishing gradient problem and introduces non-linearity."", ""A common way to explain this is: It helps mitigate the vanishing gradient problem and introduces non-linearity."", ""To summarize, It helps mitigate the vanishing gradient problem and introduces non-linearity.""]",Artificial Intelligence / Machine Learning,Hard
833,Explain the attention mechanism.,"[""A technique that allows models to focus on specific parts of the input sequence when producing output."", ""In technical terms, A technique that allows models to focus on specific parts of the input sequence when producing output."", ""Basically, A technique that allows models to focus on specific parts of the input sequence when producing output."", ""A common way to explain this is: A technique that allows models to focus on specific parts of the input sequence when producing output."", ""To summarize, A technique that allows models to focus on specific parts of the input sequence when producing output.""]",Artificial Intelligence / Machine Learning,Hard
834,What is Reinforcement Learning from Human Feedback (RLHF)?,"[""Training an AI model using human rankings of its outputs to align it with human preferences."", ""In technical terms, Training an AI model using human rankings of its outputs to align it with human preferences."", ""Basically, Training an AI model using human rankings of its outputs to align it with human preferences."", ""A common way to explain this is: Training an AI model using human rankings of its outputs to align it with human preferences."", ""To summarize, Training an AI model using human rankings of its outputs to align it with human preferences.""]",Artificial Intelligence / Machine Learning,Hard
835,What is an Optimizer in Deep Learning?,"[""An algorithm (like Adam or SGD) used to update the weights of a neural network to minimize the loss."", ""In technical terms, An algorithm (like Adam or SGD) used to update the weights of a neural network to minimize the loss."", ""Basically, An algorithm (like Adam or SGD) used to update the weights of a neural network to minimize the loss."", ""A common way to explain this is: An algorithm (like Adam or SGD) used to update the weights of a neural network to minimize the loss."", ""To summarize, An algorithm (like Adam or SGD) used to update the weights of a neural network to minimize the loss.""]",Artificial Intelligence / Machine Learning,Hard
836,Explain the concept of 'Long Short-Term Memory' (LSTM).,"[""An RNN architecture capable of learning long-term dependencies using gates."", ""In technical terms, An RNN architecture capable of learning long-term dependencies using gates."", ""Basically, An RNN architecture capable of learning long-term dependencies using gates."", ""A common way to explain this is: An RNN architecture capable of learning long-term dependencies using gates."", ""To summarize, An RNN architecture capable of learning long-term dependencies using gates.""]",Artificial Intelligence / Machine Learning,Hard
837,What is the difference between Parametric and Non-parametric models?,"[""Parametric models have a fixed number of parameters; non-parametric models grow in complexity with data size."", ""In technical terms, Parametric models have a fixed number of parameters; non-parametric models grow in complexity with data size."", ""Basically, Parametric models have a fixed number of parameters; non-parametric models grow in complexity with data size."", ""A common way to explain this is: Parametric models have a fixed number of parameters; non-parametric models grow in complexity with data size."", ""To summarize, Parametric models have a fixed number of parameters; non-parametric models grow in complexity with data size.""]",Artificial Intelligence / Machine Learning,Hard
